OrigFdCd; OrigFdNm; EngFdNam; SciNam; EDIBLE; NCF; FACF; ENERC [kJ]; ENERC [kcal]; FAT [g]; FASAT [g]; FAMS [g]; FAPU [g]; FATRN [g]; CHOT [g]; CHO [g]; SUGAR [g]; FIBT [g]; PROT [g]; ASH [g]; NA [mg]; NACL [g]; WATER [g]
562; Agar; Agar; ; 1.00; 6.25; 0.000;1428;336;0;0;0;0;0; 83.4; 83.4; 6.4;0; 0.6; 0.8;110; 0.28; 15.2
428; Aloe vera, listy; Aloe vera, leaves, raw; Aloe vera; 1.00; 6.25; 0.956;105;25; 0.7;0;0;0;0; 6.1; 3.4; 1.2; 2.7;0; 0.9;1;0; 92.3
653; Amarant semena; Amaranth seeds; Amaranthus; 1.00; 6.25; 0.956;1476;351; 7.2; 0.23; 3.95; 3.05;0; 63.5; 50.7; 1.3; 12.9; 14.5; 2.9;0;0; 11.9
565; Amur bílı, maso z celé ryby; Grass carp, whole fish, raw; Ctenopharyngodon idella; 0.45; 6.25; 0.700;424;101; 3.7; 0.49; 1.37; 0.37;0;0;0;0;0; 16.9; 1.1;33; 0.08; 78.0
795; Amur bílı, uzenı, maso bez kùe; Grass carp, meat without skin, smoked; Ctenopharyngodon idella; 0.86; 6.25; 0.900;548;131; 5.4; 1.53; 2.32; 0.75;0;0;0;0;0; 20.5; 3.9;1186; 2.96; 69.2
332; Ananas; Pineapple, raw; Ananas comosus (L.) Merr.; 0.60; 6.25; 0.800;212;50; 0.2; 0.01; 0.01; 0.04; ; 12.6; 10.6; 10.1; 2.0; 0.5; 0.5;16;0; 86.2
691; Ananas sušenı; Pineapple, dried; ; 1.00; 6.25; 0.800;1501;354; 0.2; 0.08; 0.03; 0.02;0; 89.4; 85.9; 82.5; 3.5; 0.5; 0.7;263; 0.65; 9.3
935; Ananas, lyofilizovanı; Pineapple, lyophilized; Ananas comosus; 1.00; 6.25; 0.800;1483;350; 0.6;0;0;0;0; 87.7; 77.8; 71.5; 9.9; 3.5; 2.3;0;0; 5.9
366; Angrešt; Gooseberry, raw; Ribes uva-crispa L.; 0.98; 6.25; 0.800;186;44; 0.2; 0.02; 0.01; 0.07; ; 11.3; 8.3; 2.9; 3.0; 0.8; 0.4;7;0; 87.3
367; Arašídy; Peanuts, dried; Arachis hypogaea L.; 0.75; 5.46; 0.950;2460;594; 48.9; 9.19; 23.09; 13.49; ; 16.5; 8.9; 3.1; 7.6; 25.8; 2.2;10;0; 6.6
727; Arašídy loupané; Peanuts, peeled; Arachis hypogaea; 1.00; 6.25; 0.956;2526;610; 49.3; 9.22; 22.20; 15.73;0; 20.6; 11.8; 3.4; 8.7; 25.3; 2.5;1;0; 2.3
618; Artyèok; Artichoke, raw; Cynara cardunculus; 0.48; 6.25; 0.800;261;63; 0.6;0;0;0;0; 16.7; 5.5; 3.6; 11.2; 3.2; 1.8;5; 0.01; 77.6
486; Avokádo; Avocado, raw; Persea americana; 0.65; 6.25; 0.800;697;166; 16.5; 3.12; 8.32; 1.76;0; 6.3; 1.4; 0.5; 4.9; 1.5; 2.7;8; 0.02; 73.2
793; Bábovka tøená, modelová receptura; Sponge cake, model recipe; ; 1.00; 6.25; 0.956;1521;362; 14.6; 9.18; 4.04; 0.59; 0.26; 53.0; 51.3; 23.8; 1.7; 5.6; 1.0;204; 0.5; 25.8
883; Banán, sušenı; Banana, dried; ; 1.00; 6.25; 0.800;1504;356; 0.7;0;0;0;0; 91.0; 76.2; 75.6; 14.8; 3.8; 2.9;4; 0.01; 1.6
32; Banány; Bananas, raw; Musa paradisiaca L.; 0.63; 6.25; 0.800;415;98; 0.3; 0.05; 0.01; 0.06; ; 23.9; 21.6; 19.0; 2.3; 1.1; 0.8;1;0; 73.9
936; Banány, lyofilizované; Banana, lyophilized; Musa; 1.00; 6.25; 0.800;1549;366; 0.9;0;0;0;0; 87.5; 78.0; 58.1; 9.5; 6.7; 3.0;0;0; 1.9
171; Bér; Foxtail millet; Setaria italica; 1.00; 6.25; 0.720;1490;353; 5.3; 0.41; 0.63; 2.75; ; 72.8; 55.4; ; 17.4; 12.4; 3.1;3;0; 6.5
884; Bez èernı, plody; Elderberry (black elder), raw; Sambucus nigra, L.; 0.76; 6.25; 0.800;301;73; 2.8;0;0;0;0; 13.5; 3.7; 3.5; 9.8; 3.3; 1.3;0;0; 79.1
432; Bílkovina mléèná; Milk protein; ; 1.00; 6.38; 0.945;261;62; 0.1;0;0;0;0; 5.6; 5.6; 4.6;0; 9.4; 1.2;41; 0.10; 83.6
672; Bílkovina sójová izolovaná; Soy protein isolate; ; 1.00; 6.25; 0.956;1553;366; 2.7; 0.77; 0.43; 1.35;0; 3.5; 3.5;0;0; 82.0; 5.1;1666; 4.17; 6.7
513; Bio-Margarín se sníenım obsahem tuku (60 %), Rama Bio, UNILEVER; Bio-Margarine, reduced-fat (60%), Rama Bio, UNILEVER; ; 1.00; 6.25; 0.956;2220;541; 60.0; 16.3; 29.1; 14.0; 0.7; 0.2; 0.2; 0.2;0;0; ;120; 0.3; 38.9
953; Boby kakaové nepraené; Cocoa beans, not roasted; Theobroma cacao; 1.00; 6.25; 0.956;2303;559; 49.3; 27.87; 17.86; 1.32;0; 29.5; 2.7;0; 26.8; 12.8; 3.1;0;0; 5.3
885; Borùvka, sušená; Blueberry, dried; Vaccinium myrtillus L.; 1.00; 6.25; 0.800;1379;330; 7.0;0;0;0;0; 75.4; 44.1; 43.5; 31.3; 7.0; 1.9;30; 0.07; 8.7
33; Borùvky; Bilberries, raw; Vaccinium myrtillus  L.; 0.99; 6.25; 0.800;213;51; 0.6; 0.02; 0.07; 0.39; ; 12.3; 8.9; 6.4; 3.4; 0.7; 0.3;4;0; 86.1
2; Bramborák, modelová receptura; Bramborak, pancake from raw potatoes, fried, model recipe; ; 1.00; 6.25; 0.956;1020;242; 10.0; 4.57; 3.84; 1.14; 0.23; 33.9; 30.9; 3.7; 3.0; 5.6; 2.0;420; 1.1; 48.6
10; Bramborák, trh; Bramborak, pancake from raw potatoes, fried, retail; ; 1.00; 6.25; 0.956;1090;261; 13.2; 1.20; 7.92; 3.28; ; 30.8; ; ; ; 4.8; 4.2;1042; 2.6; 47.0
193; Brambory rané; Potato, new, raw; Solanum tuberosum L.; 0.93; 6.25; 0.800;303;71; 0.2; ; ; ; ; 16.1; 14.7; ; 1.4; 2.0; 1.0;28; 0.1; 80.7
619; Brambory sladké (batáty, jamy); Sweet potatoes, raw; Ipomoea batatas; 0.87; 6.25; 0.800;277;66; 0.2;0;0;0;0; 16.1; 13.6; 8.3; 2.5; 1.1; 1.2;36; 0.09; 81.3
194; Brambory zimní; Potato, old, raw; Solanum tuberosum L.; 0.81; 6.25; 0.800;330;78; 0.3; ; ; ; ; 17.2; 15.6; ; 1.6; 2.4; 1.0;16;0; 79.1
506; Brambory zimní, loupané, vaøené v nesolené vodì; Potato, old, boiled in unsalted water; ; 1.00; 6.25; 0.000;304;72; 0.3; ; ; ; ; 16.1; 14.4; ; 1.7; 2.0; 1.1; ; ; 80.5
49; Brokolice; Broccoli, raw; Brassica oleracea var. Italica; 0.61; 6.25; 0.800;153;37; 0.3; ; ; ; ; 6.1; 2.0; ; 4.1; 4.4; 1.0;10;0; 88.2
937; Brokolice, lyofilizovaná; Broccoli, lyophilized; Brassica oleracea var. Botrytis italica; 1.00; 6.25; 0.800;1259;301; 3.8; 0.69; 0.27; 0.94;0; 55.6; 23.7; 17.9; 31.9; 27.1; 5.9;80; 0.20; 7.6
34; Broskve; Peaches, raw; Prunus persica L.; 0.91; 6.25; 0.800;205;48; 0.2; 0.02; 0.07; 0.08; ; 11.5; 10.0; 8.8; 1.5; 0.9; 0.5;4;0; 86.9
938; Broskve, lyofilizované; Peach, lyophilized; Prunus persica; 1.00; 6.25; 0.800;1549;365; 0.5;0;0;0;0; 90.7; 83.8; 74.3; 6.9; 3.0; 1.4;90; 0.23; 4.4
487; Brusinky; Cranberries, raw; Vaccinium vitis-idaea; 1.00; 6.25; 0.800;204;49; 0.7; 0.48;0;0;0; 11.7; 8.6; 5.9; 3.1; 0.6; 0.2;0;0; 86.9
738; Brusinky sušené; Cramberries, dried; Vaccinium vitis-idaea L.; 1.00; 6.25; 0.800;1503;354; 1.2; 0.19; 0.67; 0.27;0; 87.0; 84.4; 71.4; 2.6; 0.2; 0.1;8; 0.02; 11.5
939; Brusinky, lyofilizované; Lingonberry (cowberry), lyophilized; Vaccinium vitis-idaea L.; 1.00; 6.25; 0.800;1276;304; 2.9; 0.28; 0.61; 1.40;0; 81.3; 53.3; 29.8; 28.0; 2.2; 1.4;3; 0.01; 12.2
794; Buchty kynuté, plnìné tvarohovou náplní, modelová receptura; Buchty, fermented buns, with quark filling, model recipe; ; 1.00; 6.25; 0.956;1235;293; 8.1; 3.60; 2.77; 1.23; 0.00; 47.4; 44.8; 12.2; 2.6; 9.0; 1.1;264; 0.7; 34.4
1008; Bulgur pšeniènı; Bulgur; ; 1.00; 6.25; 0.670;1451;343; 1.5; 0.19; 0.22; 0.60;0; 73.1; 64.5; 1.0; 8.6; 13.5; 1.1;1;0; 10.8
178; Bulgur špaldovı; Spelt bulgur; Triticum spelta; 1.00; 5.83; 0.720;1560;370; 3.4; 0.42; 0.52; 1.51; ; 75.5; 66.8; ; 8.7; 13.7; 1.8;3;0; 5.6
796; Candát obecnı, maso bez kùe; Pike perch, meat without skin, raw; Sander lucioperca; 0.91; 6.25; 0.700;308;73; 0.2; 0.05; 0.06; 0.04;0;0;0;0;0; 17.7; 1.0;46; 0.12; 79.7
797; Candát obecnı, maso s kùí; Pike perch, meat with skin, raw; Sander lucioperca; 1.00; 6.25; 0.700;310;73; 0.1; 0.03; 0.04; 0.03;0;0;0;0;0; 18.0; 1.1;44; 0.11; 80.0
800; Cejn velkı,  maso s kùí; Freshwater bream, meat with skin, raw; Abramis brama; 0.50; 6.25; 0.900;522;125; 6.4; 1.54; 3.08; 0.56;0;0;0;0;0; 16.8; 2.1;39; 0.10; 75.1
798; Cejn velkı, maso bez kùe; Freshwater bream, meat without skin, raw; Abramis brama; 0.42; 6.25; 0.900;481;115; 5.1; 1.02; 2.15; 0.74;0;0;0;0;0; 17.2; 1.2;37; 0.09; 76.7
799; Cejn velkı, uzenı, maso bez kùe; Freshwater bream, meat without skin, smoked; Abramis brama; 0.77; 6.25; 0.900;701;168; 10.3; 2.53; 5.12; 0.56;0;0;0;0;0; 18.8; 3.7;946; 2.36; 65.9
50; Celer bulvovı; Celeriac, raw; Apium graveolens L.; 0.68; 6.25; 0.800;117;28; 0.3; ; ; ; ; 7.1; 2.6; ; 4.5; 1.5; 1.0;92; 0.2; 90.1
620; Celer øapíkatı; Celery, raw; Apium graveolens; 1.00; 6.25; 0.800;69;17; 0.2;0;0;0;0; 5.3; 0.7; 2.0; 4.7; 0.7; 0.8;46; 0.12; 92.9
940; Celer, sušenı; Celery, dried; Apium graveolens; 1.00; 6.25; 0.800;1144;273; 1.6; 0.60; 0.06; 0.38;0; 69.2; 37.6; 17.0; 31.6; 11.4; 10.0;960; 2.40; 7.8
51; Cibule; Onion, raw; Allium cepa L.; 0.92; 6.25; 0.800;164;39; 0.3; ; ; ; ; 8.7; 6.6; ; 2.1; 1.4; 0.5;8;0; 89.1
621; Cibule èervená; Onion, red, raw; Allium; 0.96; 6.25; 0.800;191;45; 0.2;0;0;0;0; 10.4; 8.6; 6.9; 1.9; 1.4; 0.4;7; 0.02; 87.6
622; Cibule šalotka; Onion, shallot, raw; Allium ascalonicum; 0.92; 6.25; 0.800;187;44; 0.1;0;0;0;0; 10.3; 8.2; 4.5; 2.2; 1.5; 0.6;2;0; 87.4
941; Cibule, lyofilizovaná; Onion, lyophilized; Allium cepa; 1.00; 6.25; 0.800;1374;326; 1.2; 0.27; 0.20; 0.42;0; 75.3; 57.3; 34.9; 18.0; 12.4; 4.3;7; 0.02; 6.8
942; Cibule, sušená; Onion, dried; Allium cepa; 1.00; 6.25; 0.800;1333;316; 0.7;0;0;0;0; 78.3; 57.4; 33.9; 20.9; 9.6; 4.2;56; 0.14; 7.2
35; Citróny; Lemons, raw; Citrus limon L.; 0.63; 6.25; 0.800;149;35; 0.4; 0.04; 0.01; 0.06; ; 8.4; 6.1; 2.7; 2.3; 0.7; 0.5;4;0; 90.0
582; Cizrna; Chickpea, dried; ; 1.00; 6.25; 0.720;1285;308; 5.8; 0.57; 1.27; 2.30;0; 60.7; 27.2; 1.9; 33.5; 20.0; 2.8;5; 0.01; 10.7
52; Cuketa; Zucchini, raw; Cucurbita pepo L. convar. giromontiina Greb.; 0.90; 6.25; 0.800;57;14; 0.1; 0.08;0;0;0; 2.8; 1.8; 1.7; 1.0; 0.8; 0.5;1;0; 95.8
559; Cukr hroznovı (glukóza); Glucose; ; 1.00; 6.25; 0.000;1557;366;0;0;0;0;0; 91.4; 91.4; 90.8;0; 0.2; 0.1;1;0; 8.3
190; Cukr øepnı, bílı; Sugar, beet, sucrose, white; ; 1.00; 6.25; 0.800;1700;399;0; ; ; ; ; 99.9; 99.8; 99.8;0;0;0;0;0;0
330; Cukr tøtinovı; Sugar, cane; ; 1.00; 6.25; 0.800;1680;402;0;0;0;0; ; 98.9; 98.9; 96.7;0;0; 0.5;2;0; 0.6
191; Cukr vanilkovı; Sugar, vanilla; ; 1.00; 6.25; 0.800;1701;400; 0.2; ; ; ; ; 99.7; 99.6; 99.6;0;0;0;0;0; 0.1
53; Èesnek; Garlic, raw; Allium sativum L.; 0.87; 6.25; 0.800;636;150; 0.4; ; ; ; ; 31.7; 28.9; ; 2.8; 6.3; 1.4;13;0; 60.1
623; Èesnek medvìdí; Bear's garlic, raw; Allium ursinum; 1.00; 6.25; 0.800;155;37; 1.0;0;0;0;0; 5.1; 2.3; 0.4; 2.8; 3.3; 0.9;1;0; 89.7
944; Èesnek, lyofilizovanı; Garlic, lyophilized; Allium sativum; 1.00; 6.25; 0.800;1481;351; 0.9;0;0;0;0; 73.9; 59.5; 6.7; 14.4; 18.9; 4.1;45; 0.11; 2.2
92; Èoèka; Lentils, dried; Lens esculenta Moench; 1.00; 6.25; 0.800;1372;325; 0.7; ; ; ; ; 63.5; 48.5; ; 15.0; 23.6; 2.4;5;0; 9.8
647; Èoèka èervená; Lentil, red; ; 1.00; 6.25; 0.956;1317;313; 1.3; 0.21; 0.35; 0.73;0; 61.8; 39.2; 1.4; 22.6; 24.7; 2.6;1;0; 9.6
917; Èoèka, èerná; Lentil, black; Lens; 1.00; 6.25; 0.800;1271;303; 1.5; 0.25; 0.33; 0.61;0; 59.9; 32.3; 1.1; 27.6; 26.2; 2.9;0;0; 9.5
495; Èoèka, vaøená v nesolené vodì; Lentils, boiled in unsalted water; ; 1.00; 6.25; 0.000;466;110; 0.4; ; ; ; ; 21.3; 16.3; ; 5.0; 7.9; 0.8; ; ; 69.6
350; Èokoláda bílá; Chocolate, white; ; 1.00; 6.25; 0.000;2290;549; 32.1; 19.34; 9.05; 1.01;0; 59.2; 59.0; ; 0.2; 5.9; 1.5;90; 0.2; 1.3
346; Èokoláda hoøká, obsah kakaa 45-59 %; Chocolate, dark, 45-59% cacao solids; ; 1.00; 6.25; 0.000;2220;532; 31.3; 18.41; 9.53; 1.06; 0.11; 61.1; 54.1; 48.0; 7.0; 4.9; 1.7;24; 0.1; 1.0
348; Èokoláda hoøká, obsah kakaa 60-69 %; Chocolate, dark, 60-69% cacao solids; ; 1.00; 6.25; 0.000;2340;563; 38.3; 21.88; 11.52; 1.18; 0.08; 52.4; 44.4; 36.7; 8.0; 6.1; 1.9;10;0; 1.3
349; Èokoláda hoøká, obsah kakaa 70-85 %; Chocolate, dark, 70-85% cacao solids; ; 1.00; 6.25; 0.000;2390;579; 42.6; 24.37; 12.77; 1.24; 0.03; 45.9; 35.0; 24.0; 10.9; 7.8; 2.3;20; 0.1; 1.4
347; Èokoláda mléèná; Chocolate, milk; ; 1.00; 6.25; 0.000;2210;529; 29.7; 18.5; 6.49; 1.34; 0.20; 59.4; 56.0; 52.8; 3.4; 7.7; 1.78;79; 0.2; 1.5
203; Dalamánek; Bread bun, Dalamánek; ; 1.00; 6.25; 0.000;1220;289; 3.5; 0.25; 1.20; 0.81;0; 60.1; 54.7; 3.6; 5.4; 6.9; 3.1;956; 2.4; 26.4
364; Datle, sušené; Dates, dried; Phoenix dactylifera; 0.86; 6.25; 0.800;1434;339; 0.8; 0.11; 0.14; 0.34;0; 85.1; 75.7; 56.2; 9.4; 2.5; 1.8;5; 0.01; 9.8
384; Destilát, whisky; Whisky; ; 1.00; 6.25; 0.000;1050;250;0;0;0;0; ; 0.1;0;0;0;0;0;0;0; 63.9
698; Droby kachní; Duck offal; Anas platyrhynchos f. domestica; 1.00; 6.25; 0.741;535;127; 5.1; 1.48; 1.71; 0.54;0; 0.56; 0.56;0;0; 19.8; 1.3;78; 0.20; 73.6
233; Droby kuøecí; Chicken, giblets, raw; ; 1.00; 6.25; 0.741;493;117; 4.4; 1.32; 1.42; 0.46;0; 1.40; 1.40;0;0; 18.0; 1.2;79; 0.20; 75.0
251; Drodí lisované; Yeast, baker´s, compressed; ; 1.00; 6.25; 0.956;437;105; 2.7; 0.42; 2.10; 0.08;0; 11.3; 0.2; 0.1; 11.1; 14.4; 1.8;19; 0.05; 69.8
252; Drodí sušené; Yeast, baker´s, dried; ; 1.00; 6.25; 0.956;1419;339; 6.4; 2.43; 2.77; 0.91;0; 40.2; 12.9; 4.6; 27.3; 43.8; 5.3;80; 0.20; 3.7
219; Dršky hovìzí; Tripe, ox, raw; ; 1.00; 6.25; 0.916;355;86; 1.0; 0.43; 0.39; 0.03;0;0;0;0;0; 18.7; 0.7;43; 0.11; 80.4
945; Døišál, plody, sušené; Barberry, dried; Berberis vulgaris; 1.00; 6.25; 0.800;1413;334; 2.0; 0.48; 0.33; 0.60;0; 80.6; 69.1; 48.2; 11.5; 4.2; 2.8;12; 0.03; 10.4
